"id","city","date","player_of_match","venue","neutral_venue","team1","team2","toss_winner","toss_decision","winner","result","result_margin","eliminator","method","umpire1","umpire2"
1216517,"Dubai","2020-10-18","KL Rahul","Dubai International Cricket Stadium",0,"Mumbai Indians","Kings XI Punjab","Mumbai Indians","bat","Kings XI Punjab","tie",NULL,"Y ","NA ","Nitin Menon","PR Reiffel"
1216512,"Abu Dhabi","2020-10-18","LH Ferguson","Sheikh Zayed Stadium",0,"Kolkata Knight Riders","Sunrisers Hyderabad","Sunrisers Hyderabad","field","Kolkata Knight Riders","tie",NULL,"Y ","NA ","PG Pathak","S Ravi"
1216547,"Dubai","2020-09-28","AB de Villiers","Dubai International Cricket Stadium",0,"Royal Challengers Bangalore","Mumbai Indians","Mumbai Indians","field","Royal Challengers Bangalore","tie",NULL,"Y ","NA ","Nitin Menon","PR Reiffel"
1216493,"Dubai","2020-09-20","MP Stoinis","Dubai International Cricket Stadium",0,"Delhi Capitals","Kings XI Punjab","Kings XI Punjab","field","Delhi Capitals","tie",NULL,"Y ","NA ","AK Chaudhary","Nitin Menon"
1178426,"Mumbai","2019-05-02","JJ Bumrah","Wankhede Stadium",0,"Mumbai Indians","Sunrisers Hyderabad","Mumbai Indians","bat","Mumbai Indians","tie",NULL,"Y ","NA ","CK Nandan","S Ravi"
1175365,"Delhi","2019-03-30","PP Shaw","Feroz Shah Kotla",0,"Delhi Capitals","Kolkata Knight Riders","Delhi Capitals","field","Delhi Capitals","tie",NULL,"Y ","NA ","AY Dandekar","Nitin Menon"
1082625,"Rajkot","2017-04-29","KH Pandya","Saurashtra Cricket Association Stadium",0,"Gujarat Lions","Mumbai Indians","Gujarat Lions","bat","Mumbai Indians","tie",NULL,"Y ","NA ","AK Chaudhary","CB Gaffaney"
829741,"Ahmedabad","2015-04-21","SE Marsh","Sardar Patel Stadium, Motera",0,"Rajasthan Royals","Kings XI Punjab","Kings XI Punjab","field","Kings XI Punjab","tie",NULL,"Y ","NA ","M Erasmus","S Ravi"
729315,"Abu Dhabi","2014-04-29","JP Faulkner","Sheikh Zayed Stadium",1,"Kolkata Knight Riders","Rajasthan Royals","Rajasthan Royals","bat","Rajasthan Royals","tie",NULL,"Y ","NA ","Aleem Dar","AK Chaudhary"
598017,"Bangalore","2013-04-16","V Kohli","M Chinnaswamy Stadium",0,"Royal Challengers Bangalore","Delhi Daredevils","Royal Challengers Bangalore","field","Royal Challengers Bangalore","tie",NULL,"Y ","NA ","M Erasmus","VA Kulkarni"
598004,"Hyderabad","2013-04-07","GH Vihari","Rajiv Gandhi International Stadium, Uppal",0,"Sunrisers Hyderabad","Royal Challengers Bangalore","Royal Challengers Bangalore","bat","Sunrisers Hyderabad","tie",NULL,"Y ","NA ","AK Chaudhary","S Ravi"
419121,"Chennai","2010-03-21","J Theron","MA Chidambaram Stadium, Chepauk",0,"Chennai Super Kings","Kings XI Punjab","Chennai Super Kings","field","Kings XI Punjab","tie",NULL,"Y ","NA ","K Hariharan","DJ Harper"
392190,"Cape Town","2009-04-23","YK Pathan","Newlands",1,"Kolkata Knight Riders","Rajasthan Royals","Kolkata Knight Riders","field","Rajasthan Royals","tie",NULL,"Y ","NA ","MR Benson","M Erasmus"
